GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Report Aggregate/security-service,com.example.securityservice.controller,AuthController,230,0,12,0,43,0,14,0,8,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.config,SecurityConfig,61,0,0,0,17,0,9,0,9,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.loader,DataLoader,166,0,4,0,34,0,6,0,4,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.service,JwtService,139,0,0,0,43,0,7,0,7,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.service,PymeService,11,0,0,0,2,0,2,0,2,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.service,UserService,277,0,2,0,69,0,14,0,13,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.service,BlacklistedTokenService,21,0,0,0,6,0,3,0,3,0
JaCoCo Report Aggregate/security-service,com.example.securityservice,SecurityServiceApplication,8,0,0,0,3,0,2,0,2,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.dto,UserDTO,52,0,0,0,22,0,15,0,15,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.dto,PymeDTO,80,0,0,0,34,0,23,0,23,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,BlacklistedToken,17,0,0,0,7,0,5,0,5,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,AuthResponseUser,42,0,0,0,18,0,8,0,8,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,User,88,0,2,0,33,0,19,0,18,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,Pyme,45,0,0,0,19,0,13,0,13,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,AuthResponse,52,0,0,0,22,0,10,0,10,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,AuthRequest,17,0,0,0,7,0,5,0,5,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,UserRole,61,0,4,0,19,0,10,0,8,0
JaCoCo Report Aggregate/security-service,com.example.securityservice.model,UserRoleId,73,0,10,0,16,0,13,0,8,0
JaCoCo Report Aggregate/api-gateway,com.example.apigateway.config,GatewayConfig,233,0,0,0,32,0,13,0,13,0
JaCoCo Report Aggregate/api-gateway,com.example.apigateway.filter,LoggingFilter.Config,3,0,0,0,1,0,1,0,1,0
JaCoCo Report Aggregate/api-gateway,com.example.apigateway.filter,LoggingFilter,33,0,0,0,8,0,4,0,4,0
JaCoCo Report Aggregate/api-gateway,com.example.apigateway,ApiGatewayApplication,13,0,0,0,5,0,3,0,3,0
JaCoCo Report Aggregate/api-gateway,com.example.apigateway.security,AuthFilter.AuthValidationResponse,31,0,0,0,13,0,9,0,9,0
